T (s),0.04,0.05,0.075,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.22,0.24,0.26,0.28,0.3,0.32,0.34,0.36,0.38,0.4,0.42,0.44,0.46,0.48,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.2,2.4,2.6,2.8,3,3.2,3.4,3.6,3.8,4,4.2,4.4,4.6,4.8,5,5.5,6,6.5,7
0.04,1,0.977,0.936,0.905,0.901,0.892,0.886,0.877,0.866,0.863,0.856,0.847,0.837,0.824,0.813,0.797,0.782,0.768,0.749,0.735,0.717,0.702,0.689,0.674,0.662,0.646,0.631,0.62,0.604,0.58,0.554,0.54,0.519,0.499,0.497,0.488,0.477,0.469,0.462,0.46,0.451,0.434,0.419,0.422,0.412,0.416,0.415,0.411,0.391,0.378,0.367,0.357,0.347,0.339,0.332,0.325,0.317,0.308,0.286,0.278,0.274,0.272,0.27,0.266,0.272,0.269,0.28,0.276
0.05,0.977,1,0.962,0.924,0.917,0.906,0.899,0.888,0.877,0.872,0.864,0.855,0.843,0.829,0.818,0.802,0.787,0.772,0.754,0.741,0.723,0.709,0.697,0.68,0.669,0.653,0.638,0.624,0.608,0.582,0.556,0.541,0.52,0.501,0.494,0.485,0.476,0.467,0.46,0.456,0.446,0.431,0.416,0.414,0.396,0.395,0.393,0.392,0.374,0.365,0.356,0.345,0.341,0.334,0.324,0.318,0.311,0.302,0.278,0.27,0.267,0.264,0.262,0.259,0.26,0.258,0.269,0.266
0.075,0.936,0.962,1,0.964,0.953,0.942,0.931,0.917,0.905,0.899,0.89,0.879,0.868,0.853,0.841,0.825,0.81,0.796,0.777,0.762,0.743,0.727,0.713,0.695,0.681,0.665,0.648,0.631,0.614,0.587,0.557,0.537,0.517,0.5,0.492,0.483,0.473,0.462,0.454,0.448,0.434,0.415,0.398,0.394,0.376,0.37,0.366,0.364,0.348,0.337,0.327,0.314,0.312,0.306,0.297,0.288,0.28,0.268,0.243,0.236,0.232,0.229,0.225,0.221,0.215,0.213,0.226,0.222
0.1,0.905,0.924,0.964,1,0.99,0.978,0.967,0.954,0.943,0.935,0.926,0.916,0.904,0.89,0.876,0.857,0.842,0.826,0.805,0.79,0.772,0.755,0.742,0.724,0.708,0.691,0.673,0.655,0.637,0.609,0.578,0.557,0.536,0.518,0.509,0.499,0.487,0.475,0.466,0.458,0.441,0.422,0.401,0.395,0.375,0.371,0.364,0.36,0.344,0.331,0.319,0.305,0.301,0.297,0.286,0.276,0.268,0.256,0.23,0.223,0.219,0.216,0.213,0.209,0.203,0.2,0.212,0.208
0.11,0.901,0.917,0.953,0.99,1,0.99,0.98,0.969,0.959,0.951,0.942,0.932,0.919,0.905,0.89,0.87,0.855,0.838,0.816,0.8,0.781,0.765,0.751,0.733,0.717,0.699,0.681,0.662,0.644,0.615,0.584,0.563,0.542,0.523,0.515,0.504,0.492,0.48,0.47,0.461,0.445,0.426,0.405,0.399,0.38,0.376,0.369,0.364,0.348,0.335,0.325,0.311,0.306,0.301,0.292,0.282,0.274,0.261,0.235,0.227,0.223,0.22,0.216,0.212,0.208,0.205,0.217,0.214
0.12,0.892,0.906,0.942,0.978,0.99,1,0.991,0.982,0.972,0.963,0.954,0.944,0.931,0.917,0.902,0.881,0.865,0.848,0.827,0.809,0.79,0.774,0.76,0.742,0.727,0.708,0.69,0.673,0.655,0.625,0.594,0.572,0.551,0.532,0.523,0.512,0.499,0.488,0.477,0.469,0.451,0.432,0.41,0.404,0.385,0.381,0.374,0.369,0.353,0.34,0.33,0.316,0.31,0.305,0.296,0.286,0.278,0.264,0.239,0.23,0.226,0.223,0.219,0.215,0.212,0.209,0.221,0.219
0.13,0.886,0.899,0.931,0.967,0.98,0.991,1,0.991,0.981,0.972,0.963,0.953,0.941,0.926,0.911,0.89,0.873,0.856,0.833,0.816,0.796,0.78,0.766,0.748,0.732,0.714,0.696,0.679,0.662,0.632,0.6,0.579,0.558,0.539,0.53,0.518,0.505,0.493,0.482,0.474,0.456,0.437,0.415,0.408,0.388,0.384,0.378,0.372,0.355,0.343,0.33,0.316,0.31,0.306,0.298,0.288,0.279,0.266,0.24,0.231,0.227,0.225,0.22,0.216,0.215,0.213,0.224,0.222
0.14,0.877,0.888,0.917,0.954,0.969,0.982,0.991,1,0.991,0.983,0.974,0.964,0.952,0.938,0.922,0.901,0.883,0.864,0.842,0.824,0.804,0.788,0.774,0.756,0.74,0.721,0.703,0.686,0.669,0.639,0.607,0.587,0.565,0.545,0.536,0.523,0.509,0.498,0.486,0.476,0.458,0.438,0.415,0.407,0.387,0.383,0.376,0.371,0.355,0.342,0.329,0.316,0.31,0.306,0.297,0.288,0.279,0.266,0.242,0.233,0.228,0.226,0.221,0.218,0.218,0.216,0.227,0.223
0.15,0.866,0.877,0.905,0.943,0.959,0.972,0.981,0.991,1,0.992,0.983,0.973,0.962,0.949,0.933,0.911,0.892,0.873,0.85,0.832,0.812,0.796,0.782,0.763,0.746,0.728,0.71,0.692,0.676,0.647,0.616,0.595,0.573,0.554,0.543,0.53,0.516,0.504,0.492,0.482,0.463,0.442,0.419,0.412,0.392,0.387,0.38,0.376,0.36,0.347,0.333,0.32,0.314,0.308,0.3,0.29,0.281,0.269,0.244,0.235,0.23,0.228,0.224,0.22,0.223,0.221,0.231,0.227
0.16,0.863,0.872,0.899,0.935,0.951,0.963,0.972,0.983,0.992,1,0.992,0.984,0.974,0.962,0.947,0.925,0.906,0.887,0.864,0.846,0.826,0.81,0.796,0.777,0.761,0.743,0.724,0.707,0.69,0.661,0.63,0.61,0.587,0.567,0.555,0.542,0.528,0.514,0.503,0.492,0.473,0.451,0.428,0.421,0.401,0.396,0.389,0.385,0.37,0.358,0.343,0.329,0.322,0.317,0.309,0.3,0.292,0.279,0.255,0.247,0.242,0.24,0.236,0.233,0.239,0.237,0.248,0.245
0.17,0.856,0.864,0.89,0.926,0.942,0.954,0.963,0.974,0.983,0.992,1,0.992,0.984,0.974,0.958,0.937,0.917,0.898,0.875,0.857,0.838,0.822,0.808,0.79,0.774,0.756,0.738,0.72,0.704,0.675,0.644,0.623,0.6,0.58,0.567,0.554,0.538,0.524,0.513,0.502,0.482,0.459,0.436,0.43,0.409,0.403,0.397,0.393,0.377,0.366,0.351,0.338,0.33,0.324,0.317,0.308,0.3,0.287,0.263,0.255,0.25,0.248,0.244,0.241,0.249,0.247,0.258,0.255
0.18,0.847,0.855,0.879,0.916,0.932,0.944,0.953,0.964,0.973,0.984,0.992,1,0.992,0.984,0.969,0.948,0.928,0.909,0.886,0.869,0.85,0.835,0.821,0.802,0.787,0.77,0.752,0.734,0.718,0.689,0.659,0.638,0.614,0.594,0.579,0.566,0.549,0.536,0.523,0.512,0.491,0.468,0.445,0.438,0.418,0.413,0.405,0.401,0.386,0.374,0.36,0.347,0.339,0.333,0.325,0.316,0.308,0.295,0.27,0.262,0.258,0.256,0.252,0.25,0.26,0.258,0.269,0.265
0.19,0.837,0.843,0.868,0.904,0.919,0.931,0.941,0.952,0.962,0.974,0.984,0.992,1,0.993,0.978,0.956,0.937,0.918,0.896,0.879,0.86,0.844,0.831,0.813,0.798,0.78,0.762,0.745,0.729,0.701,0.67,0.649,0.625,0.605,0.59,0.576,0.559,0.546,0.533,0.52,0.499,0.476,0.453,0.447,0.428,0.422,0.415,0.41,0.395,0.385,0.371,0.359,0.349,0.342,0.334,0.325,0.316,0.303,0.278,0.27,0.266,0.264,0.261,0.259,0.27,0.269,0.279,0.275
0.2,0.824,0.829,0.853,0.89,0.905,0.917,0.926,0.938,0.949,0.962,0.974,0.984,0.993,1,0.985,0.964,0.944,0.927,0.904,0.887,0.869,0.854,0.84,0.822,0.807,0.79,0.772,0.755,0.739,0.711,0.68,0.659,0.634,0.614,0.597,0.583,0.565,0.552,0.539,0.525,0.504,0.482,0.459,0.452,0.433,0.427,0.419,0.415,0.4,0.391,0.378,0.365,0.353,0.348,0.339,0.329,0.321,0.308,0.283,0.274,0.27,0.269,0.266,0.265,0.278,0.276,0.286,0.282
0.22,0.813,0.818,0.841,0.876,0.89,0.902,0.911,0.922,0.933,0.947,0.958,0.969,0.978,0.985,1,0.986,0.971,0.954,0.932,0.916,0.897,0.882,0.868,0.851,0.837,0.821,0.804,0.787,0.77,0.742,0.711,0.689,0.663,0.643,0.625,0.61,0.592,0.579,0.565,0.55,0.53,0.507,0.483,0.476,0.457,0.451,0.445,0.441,0.425,0.415,0.401,0.388,0.375,0.369,0.359,0.349,0.341,0.327,0.301,0.291,0.287,0.286,0.283,0.282,0.295,0.293,0.305,0.302
0.24,0.797,0.802,0.825,0.857,0.87,0.881,0.89,0.901,0.911,0.925,0.937,0.948,0.956,0.964,0.986,1,0.988,0.971,0.95,0.935,0.916,0.901,0.888,0.871,0.858,0.842,0.826,0.81,0.794,0.766,0.736,0.713,0.687,0.666,0.647,0.632,0.615,0.602,0.587,0.572,0.551,0.53,0.506,0.498,0.478,0.473,0.466,0.463,0.446,0.436,0.421,0.407,0.395,0.389,0.379,0.367,0.359,0.345,0.32,0.309,0.304,0.303,0.299,0.299,0.312,0.31,0.322,0.32
0.26,0.782,0.787,0.81,0.842,0.855,0.865,0.873,0.883,0.892,0.906,0.917,0.928,0.937,0.944,0.971,0.988,1,0.988,0.97,0.956,0.939,0.925,0.911,0.894,0.882,0.866,0.851,0.835,0.819,0.791,0.761,0.738,0.712,0.691,0.671,0.657,0.639,0.625,0.609,0.594,0.573,0.553,0.529,0.521,0.502,0.497,0.49,0.486,0.47,0.459,0.444,0.429,0.416,0.41,0.4,0.388,0.38,0.365,0.341,0.33,0.324,0.323,0.319,0.318,0.332,0.329,0.342,0.34
0.28,0.768,0.772,0.796,0.826,0.838,0.848,0.856,0.864,0.873,0.887,0.898,0.909,0.918,0.927,0.954,0.971,0.988,1,0.988,0.976,0.959,0.944,0.931,0.914,0.902,0.887,0.872,0.857,0.841,0.813,0.782,0.759,0.733,0.712,0.692,0.678,0.661,0.646,0.63,0.614,0.593,0.575,0.551,0.543,0.523,0.518,0.512,0.507,0.492,0.481,0.465,0.45,0.436,0.428,0.418,0.406,0.397,0.382,0.359,0.348,0.342,0.341,0.337,0.336,0.347,0.344,0.357,0.356
